"","Consensus_vector_0.15","1st_network","Region","Age_group","MODULAR","freq"
"204","4","Language","Frontal_Inf_Tri_L_1","Young","Peripheral",0.0737327188940092
"205","4","FPN","Frontal_Inf_Tri_L_2","Middle","Connector",0.429824561403509
"206","4","FPN","Frontal_Inf_Tri_L_2","Middle","Provincial",0.37719298245614
"207","4","FPN","Frontal_Inf_Tri_L_2","Middle","Satellite",0.087719298245614
"208","4","FPN","Frontal_Inf_Tri_L_2","Middle","Peripheral",0.105263157894737
"209","4","FPN","Frontal_Inf_Tri_L_2","Old","Connector",0.414141414141414
"210","4","FPN","Frontal_Inf_Tri_L_2","Old","Provincial",0.37037037037037
"211","4","FPN","Frontal_Inf_Tri_L_2","Old","Satellite",0.101010101010101
"212","4","FPN","Frontal_Inf_Tri_L_2","Old","Peripheral",0.114478114478114
"213","4","FPN","Frontal_Inf_Tri_L_2","Young","Connector",0.299539170506912
"214","4","FPN","Frontal_Inf_Tri_L_2","Young","Provincial",0.470046082949309
"215","4","FPN","Frontal_Inf_Tri_L_2","Young","Satellite",0.124423963133641
"216","4","FPN","Frontal_Inf_Tri_L_2","Young","Peripheral",0.105990783410138
"217","1","Language","Frontal_Inf_Tri_L_3","Middle","Connector",0.421052631578947
"218","1","Language","Frontal_Inf_Tri_L_3","Middle","Provincial",0.219298245614035
"219","1","Language","Frontal_Inf_Tri_L_3","Middle","Satellite",0.289473684210526
"220","1","Language","Frontal_Inf_Tri_L_3","Middle","Peripheral",0.0701754385964912
"221","1","Language","Frontal_Inf_Tri_L_3","Old","Connector",0.38047138047138
"222","1","Language","Frontal_Inf_Tri_L_3","Old","Provincial",0.161616161616162
"223","1","Language","Frontal_Inf_Tri_L_3","Old","Satellite",0.383838383838384
"224","1","Language","Frontal_Inf_Tri_L_3","Old","Peripheral",0.0740740740740741
"225","1","Language","Frontal_Inf_Tri_L_3","Young","Connector",0.373271889400922
"226","1","Language","Frontal_Inf_Tri_L_3","Young","Provincial",0.235023041474654
"227","1","Language","Frontal_Inf_Tri_L_3","Young","Satellite",0.327188940092166
"228","1","Language","Frontal_Inf_Tri_L_3","Young","Peripheral",0.0645161290322581
"229","3","FPN","Frontal_Inf_Tri_R_2","Middle","Connector",0.289473684210526
"230","3","FPN","Frontal_Inf_Tri_R_2","Middle","Provincial",0.043859649122807
"231","3","FPN","Frontal_Inf_Tri_R_2","Middle","Satellite",0.403508771929825
"232","3","FPN","Frontal_Inf_Tri_R_2","Middle","Peripheral",0.263157894736842
"233","3","FPN","Frontal_Inf_Tri_R_2","Old","Connector",0.296296296296296
"234","3","FPN","Frontal_Inf_Tri_R_2","Old","Provincial",0.0505050505050505
"235","3","FPN","Frontal_Inf_Tri_R_2","Old","Satellite",0.363636363636364
"236","3","FPN","Frontal_Inf_Tri_R_2","Old","Peripheral",0.28956228956229
"237","3","FPN","Frontal_Inf_Tri_R_2","Young","Connector",0.211981566820276
"238","3","FPN","Frontal_Inf_Tri_R_2","Young","Provincial",0.032258064516129
"239","3","FPN","Frontal_Inf_Tri_R_2","Young","Satellite",0.433179723502304
"240","3","FPN","Frontal_Inf_Tri_R_2","Young","Peripheral",0.32258064516129
"241","1","DMN","Frontal_Mid_L_1","Middle","Connector",0.271929824561404
"242","1","DMN","Frontal_Mid_L_1","Middle","Provincial",0.473684210526316
"243","1","DMN","Frontal_Mid_L_1","Middle","Satellite",0.114035087719298
"244","1","DMN","Frontal_Mid_L_1","Middle","Peripheral",0.140350877192982
"245","1","DMN","Frontal_Mid_L_1","Old","Connector",0.36026936026936
