	clusterMean_bu	cost_efficiency_relative_bin	efficiency_bin
Subject_575	0.57738	0.33369	0.53369
Subject_576	0.49318	0.36302	0.56302
Subject_577	0.51175	0.36708	0.56708
Subject_578	0.60311	0.32667	0.52667
Subject_579	0.50761	0.36133	0.56133
Subject_580	0.5058	0.36276	0.56276
Subject_581	0.47909	0.36773	0.56773
Subject_582	0.45831	0.3743	0.5743
Subject_583	0.53236	0.355	0.555
Subject_584	0.44258	0.37902	0.57902
Subject_585	0.49304	0.36819	0.56819
Subject_586	0.49354	0.35753	0.55753
Subject_587	0.51411	0.36059	0.56059
Subject_588	0.54216	0.35504	0.55504
Subject_589	0.48005	0.36547	0.56547
Subject_590	0.51932	0.35297	0.55297
Subject_591	0.53992	0.34163	0.54163
Subject_592	0.52783	0.35734	0.55734
Subject_593	0.46467	0.37031	0.57031
Subject_594	0.537	0.35898	0.55898
Subject_595	0.50294	0.36705	0.56705
Subject_596	0.49811	0.37093	0.57093
Subject_597	0.42093	0.38414	0.58414
Subject_598	0.43184	0.37935	0.57935
Subject_599	0.39282	0.38587	0.58587
Subject_600	0.46116	0.37174	0.57174
Subject_601	0.50486	0.35894	0.55894
Subject_602	0.48814	0.36004	0.56004
Subject_603	0.4688	0.37094	0.57094
Subject_604	0.55004	0.35973	0.55973
Subject_605	0.48536	0.37435	0.57435
Subject_606	0.53577	0.35528	0.55528
Subject_607	0.50746	0.36598	0.56598
Subject_608	0.49713	0.3617	0.5617
Subject_609	0.53501	0.35127	0.55127
Subject_610	0.49232	0.36864	0.56864
Subject_611	0.57536	0.33331	0.53331
Subject_612	0.49127	0.36387	0.56387
Subject_613	0.49766	0.3619	0.5619
Subject_614	0.42038	0.37588	0.57588
Subject_615	0.47882	0.36855	0.56855
Subject_616	0.4958	0.35986	0.55986
Subject_617	0.45472	0.37364	0.57364
Subject_618	0.44061	0.37803	0.57803
Subject_619	0.51496	0.35114	0.55114
Subject_620	0.45977	0.37421	0.57421
Subject_621	0.47492	0.36966	0.56966
Subject_622	0.47325	0.37398	0.57398
Subject_623	0.51058	0.35907	0.55907
Subject_624	0.54068	0.36256	0.56256
Subject_625	0.51997	0.36445	0.56445
Subject_626	0.54522	0.35375	0.55375
Subject_627	0.54744	0.353	0.553
Subject_628	0.54847	0.35108	0.55108
